Aspect,Polarity,Summary,Review
Output: Accessibility and Accessibility,Neutral,8 Ports FAST Superchargers with 1 easy forward drive-in port,8 Ports FAST Superchargers with 1 easy forward drive-in port. Long and not easy drive off highway to get to it. Near gas station and many food places that even has gambling machines.
Output: Accessibility and Accessibility,Negative,Not so easy to get off and back onto HWY 80,8 Ports FAST Superchargers with 1 easyforward near HyVee supermarket. Arranged in 2 groups of 4. Not so easy to get off and back onto HWY 80
Output: Charging speed and efficiency,Positive,8 Ports FAST Superchargers,8 Ports FAST Superchargers with 1 easyforward near HyVee.
Output: Accessibility and Availability,Positive,8 spots and all are working and not crowded like the other ones,8 spots and all are working and not crowded like the other ones. Perfect for my monthly trip down the turnpike to Middlesex county. Will be stopping here instead of Woodbridge or Edison
Output: Accessibility and Availability,Negative,None in use at 6 am,"8 spots in garage, next to Safeway. None in use at 6 am. Drain the swamp !"
Output: Amenities and Location,Positive,"Travel Center, easy on and off, Nice alternative to the Waco stop","8 stalls 250 kWh. Nice Travel Center, easy on and off. About 20+ miles north of Waco. Nice alternative to the Waco stop."
Output: Accessibility and Amenities and location,Positive,"8 stalls backside and f Wawa, enter from Sebring Pkwy across from hospital","8 stalls backside and f Wawa, enter from Sebring Pkwy across from hospital"
Output: Amenities and location,Positive,"Sheetz, Clean restroom, Lots of dining tables inside and out, Construction nearby for new businesses",8 stalls behind a Sheetz. Clean restroom. Lots of dining tables inside and out. Not walking distance to anything yet. Construction nearby for new businesses.
Output: Accessibility and Amenities and location,Positive,8 stalls in a convenient place. Lots of food and shopping around. Barely any wait time.,8 stalls in a convenient place. Lots of food and shopping around. Barely any wait time.
Output: Amenities and Location,Neutral,casino,8 stations and it's right beside the casino if anyone thinks they're lucky while they're charging .
Output: Amenities and Location,Neutral,"casino for restaurants and restrooms, Plenty of grass to let the pets out to stretch their little paws",8 superchargers right off the freeway. You can walk over to the casino for restaurants and restrooms. Plenty of grass to let the pets out to stretch their little paws. It would be nice if there were a couple trees for shade.
Output: Accessibility and Accessibility,Negative,"Signs states for customers, however they are closed today","8-01-22 charged Tesla model Y 48 amps at 208V.
 
 Signs states for customers, however they are closed today. So I couldn‚Äôt give back, will stop by later this week and see if they open"
Accessibility and Accessibility,Positive,"Great location, pretty much in the middle between Houston and Dallas","8/21 update: looks like Tesla realized this location needs more bandwidth and is adding 8 more stalls. Changed to 5 stars.
 
 Great location, pretty much in the middle between Houston and Dallas. This allows me to skip the absolute horrible Supercharger location in Huntsville. Woody‚Äôs is a short walk away for refreshments and restroom. Minus 1 star for being only 4 stalls as this is getting to be a very busy charging stop. Hopefully Tesla installs more stalls here in the near future."
Amenities and location,Positive,Woody's is a short walk away for refreshments and restroom,"8/21 update: looks like Tesla realized this location needs more bandwidth and is adding 8 more stalls. Changed to 5 stars.
 
 Great location, pretty much in the middle between Houston and Dallas. This allows me to skip the absolute horrible Supercharger location in Huntsville. Woody‚Äôs is a short walk away for refreshments and restroom. Minus 1 star for being only 4 stalls as this is getting to be a very busy charging stop. Hopefully Tesla installs more stalls here in the near future."
Availability and Accessibility,Negative,Minus 1 star for being only 4 stalls,"8/21 update: looks like Tesla realized this location needs more bandwidth and is adding 8 more stalls. Changed to 5 stars.
 
 Great location, pretty much in the middle between Houston and Dallas. This allows me to skip the absolute horrible Supercharger location in Huntsville. Woody‚Äôs is a short walk away for refreshments and restroom. Minus 1 star for being only 4 stalls as this is getting to be a very busy charging stop. Hopefully Tesla installs more stalls here in the near future."
Queue and waiting time,Negative,this is getting to be a very busy charging stop,"8/21 update: looks like Tesla realized this location needs more bandwidth and is adding 8 more stalls. Changed to 5 stars.
 
 Great location, pretty much in the middle between Houston and Dallas. This allows me to skip the absolute horrible Supercharger location in Huntsville. Woody‚Äôs is a short walk away for refreshments and restroom. Minus 1 star for being only 4 stalls as this is getting to be a very busy charging stop. Hopefully Tesla installs more stalls here in the near future."
Reliability and maintenance,Neutral,Hopefully Tesla installs more stalls here in the near future,"8/21 update: looks like Tesla realized this location needs more bandwidth and is adding 8 more stalls. Changed to 5 stars.
 
 Great location, pretty much in the middle between Houston and Dallas. This allows me to skip the absolute horrible Supercharger location in Huntsville. Woody‚Äôs is a short walk away for refreshments and restroom. Minus 1 star for being only 4 stalls as this is getting to be a very busy charging stop. Hopefully Tesla installs more stalls here in the near future."
Output: price and cost,Negative,high cost,80% usage should be an optional not automatically and it‚Äôs high cost this location .
Output: Charging speed and efficiency,Positive,80A charge,80A charge?! Yes please...thank you Best Western!
Output: Charging speed and efficiency,Negative,8kw charging station,"8kw charging station, don't use to plan your trip."
Output: Charging speed and efficiency,Neutral,8kw,8kw...
Output: queue and waiting time,Negative,forcing you to limit charge to 80%,8pm very busy station forcing you to limit charge to 80%. Not so great when I will get to my destination with 8%. If you are traveling East on I-40 go to the Mount Juliet Supercharger.
Output: Amenities and Location,Neutral,"Green River, John Wesley Powell River History Museum","8x 150kw supercharger
 
 while you wait for the charge, you could take a short walk by Green River or check out the John Wesley Powell River History Museum.
 
 You will not have bathroom access if the museum is closed."
Output: Accessibility and Location,Neutral,in the back of the building off the main road,"8x 250kw supercharger.
 
 Please note it is in the back of the building off the main road. You need to go deep in the back. 41 cent per kw."
Amenities and Location,Positive,"Sheetz's tasty MTO food, excellent location off of I-95","8x v3 (250kW / ""Superfast) Superchargers and Sheetz's tasty MTO food. It's a match made in heaven in an excellent location off of I-95! Definitely the stop for night time travel too!
 
 The great thing about the fast v3 stalls is that by the time you use the (usually) clean toilets, place an order for hot food and then receive it, your Tesla is done with its snack and is good for the next leg of your trip. This Sheetz, like most others, has fantastic staff, a clean layout, and toilets you can access 24/7 (unlike strip mall based charging stops). It's also large enough to have an eating area so if you want to chill for a little longer and enjoy your greasy messy Big Mozz sandwich or something you can do so without getting your car all dirty. :)
 
 Traffic can be a little heavy at times, since this is a very good location for any kind of fueling up, but bonus points for putting the charging stalls near the drive-thru lane. Most of the non-tesla traffic on this side of the building is in the separate drive way to place the order which makes pulling into a spot a little easier. This partnership with Sheetz just gets better and smarter all the time!
 
 Not quite the best spot to charge before bailing onto 295 and avoiding the Richmond mess, but it's not far. You can do a short hop back to get to 295 or take the major local roads to meet back up with it!"
Availability and Accessibility,Positive,8x v3 (250kW,"8x v3 (250kW / ""Superfast) Superchargers and Sheetz's tasty MTO food. It's a match made in heaven in an excellent location off of I-95! Definitely the stop for night time travel too!
 
 The great thing about the fast v3 stalls is that by the time you use the (usually) clean toilets, place an order for hot food and then receive it, your Tesla is done with its snack and is good for the next leg of your trip. This Sheetz, like most others, has fantastic staff, a clean layout, and toilets you can access 24/7 (unlike strip mall based charging stops). It's also large enough to have an eating area so if you want to chill for a little longer and enjoy your greasy messy Big Mozz sandwich or something you can do so without getting your car all dirty. :)
 
 Traffic can be a little heavy at times, since this is a very good location for any kind of fueling up, but bonus points for putting the charging stalls near the drive-thru lane. Most of the non-tesla traffic on this side of the building is in the separate drive way to place the order which makes pulling into a spot a little easier. This partnership with Sheetz just gets better and smarter all the time!
 
 Not quite the best spot to charge before bailing onto 295 and avoiding the Richmond mess, but it's not far. You can do a short hop back to get to 295 or take the major local roads to meet back up with it!"
Cleanliness and Maintenance,Positive,"(usually) clean toilets, fantastic staff, clean layout","8x v3 (250kW / ""Superfast) Superchargers and Sheetz's tasty MTO food. It's a match made in heaven in an excellent location off of I-95! Definitely the stop for night time travel too!
 
 The great thing about the fast v3 stalls is that by the time you use the (usually) clean toilets, place an order for hot food and then receive it, your Tesla is done with its snack and is good for the next leg of your trip. This Sheetz, like most others, has fantastic staff, a clean layout, and toilets you can access 24/7 (unlike strip mall based charging stops). It's also large enough to have an eating area so if you want to chill for a little longer and enjoy your greasy messy Big Mozz sandwich or something you can do so without getting your car all dirty. :)
 
 Traffic can be a little heavy at times, since this is a very good location for any kind of fueling up, but bonus points for putting the charging stalls near the drive-thru lane. Most of the non-tesla traffic on this side of the building is in the separate drive way to place the order which makes pulling into a spot a little easier. This partnership with Sheetz just gets better and smarter all the time!
 
 Not quite the best spot to charge before bailing onto 295 and avoiding the Richmond mess, but it's not far. You can do a short hop back to get to 295 or take the major local roads to meet back up with it!"
Ease of Use,Positive,Toilets you can access 24,"8x v3 (250kW / ""Superfast) Superchargers and Sheetz's tasty MTO food. It's a match made in heaven in an excellent location off of I-95! Definitely the stop for night time travel too!
 
 The great thing about the fast v3 stalls is that by the time you use the (usually) clean toilets, place an order for hot food and then receive it, your Tesla is done with its snack and is good for the next leg of your trip. This Sheetz, like most others, has fantastic staff, a clean layout, and toilets you can access 24/7 (unlike strip mall based charging stops). It's also large enough to have an eating area so if you want to chill for a little longer and enjoy your greasy messy Big Mozz sandwich or something you can do so without getting your car all dirty. :)
 
 Traffic can be a little heavy at times, since this is a very good location for any kind of fueling up, but bonus points for putting the charging stalls near the drive-thru lane. Most of the non-tesla traffic on this side of the building is in the separate drive way to place the order which makes pulling into a spot a little easier. This partnership with Sheetz just gets better and smarter all the time!
 
 Not quite the best spot to charge before bailing onto 295 and avoiding the Richmond mess, but it's not far. You can do a short hop back to get to 295 or take the major local roads to meet back up with it!"
Compatibility and Connectivity,Positive,"Traffic can be a little heavy at times, charging stalls near the drive-thru lane","8x v3 (250kW / ""Superfast) Superchargers and Sheetz's tasty MTO food. It's a match made in heaven in an excellent location off of I-95! Definitely the stop for night time travel too!
 
 The great thing about the fast v3 stalls is that by the time you use the (usually) clean toilets, place an order for hot food and then receive it, your Tesla is done with its snack and is good for the next leg of your trip. This Sheetz, like most others, has fantastic staff, a clean layout, and toilets you can access 24/7 (unlike strip mall based charging stops). It's also large enough to have an eating area so if you want to chill for a little longer and enjoy your greasy messy Big Mozz sandwich or something you can do so without getting your car all dirty. :)
 
 Traffic can be a little heavy at times, since this is a very good location for any kind of fueling up, but bonus points for putting the charging stalls near the drive-thru lane. Most of the non-tesla traffic on this side of the building is in the separate drive way to place the order which makes pulling into a spot a little easier. This partnership with Sheetz just gets better and smarter all the time!
 
 Not quite the best spot to charge before bailing onto 295 and avoiding the Richmond mess, but it's not far. You can do a short hop back to get to 295 or take the major local roads to meet back up with it!"
Compatibility and Connectivity,Negative,Not quite the best spot to charge before bailing onto 295 and avoiding the Richmond mess,"8x v3 (250kW / ""Superfast) Superchargers and Sheetz's tasty MTO food. It's a match made in heaven in an excellent location off of I-95! Definitely the stop for night time travel too!
 
 The great thing about the fast v3 stalls is that by the time you use the (usually) clean toilets, place an order for hot food and then receive it, your Tesla is done with its snack and is good for the next leg of your trip. This Sheetz, like most others, has fantastic staff, a clean layout, and toilets you can access 24/7 (unlike strip mall based charging stops). It's also large enough to have an eating area so if you want to chill for a little longer and enjoy your greasy messy Big Mozz sandwich or something you can do so without getting your car all dirty. :)
 
 Traffic can be a little heavy at times, since this is a very good location for any kind of fueling up, but bonus points for putting the charging stalls near the drive-thru lane. Most of the non-tesla traffic on this side of the building is in the separate drive way to place the order which makes pulling into a spot a little easier. This partnership with Sheetz just gets better and smarter all the time!
 
 Not quite the best spot to charge before bailing onto 295 and avoiding the Richmond mess, but it's not far. You can do a short hop back to get to 295 or take the major local roads to meet back up with it!"
Output: charging speed and efficiency,Positive,95% of the time the chargers are running at their full 150kwh,95% of the time the chargers are running at there full 150kwh. The going charge rate here is $0.25 per kwh. Very nice charging location and it has a pretty good view you can also go into the hotel for a bite to eat or for a drink very nice.
Output: Accessibility and Availability,Negative,non electric vehicles take the spot,"9th floor. Rated at 12A (very slow). Sometimes, non electric vehicles take the spot."
Output: Accessibility and Amenities and location,Positive,12 stall V3 supercharger with many nearby food options,A 12 stall V3 supercharger with many nearby food options! I have charged here a few times and never had any issues.
Output: Accessibility and Amenities and location,Negative,"crowded, be careful parking in the whole lot, my cars been hit so many times on the doors by someone else. Also don't over use they do call and will tow your vehicle.","A bit crowded especially during the middle of the day, be careful parking in the whole lot honestly my cars been hit so many times on the doors by someone else. Also don't over use they do call and will tow your vehicle.."
Output: Amenities and Location,Neutral,"far from the major stores and eateries, but is about a 10-15 minute walk","A bit far from the major stores and eateries, but is about a 10-15 minute walk. it‚Äôs a decent supercharger. No issues with charging."
Output: Accessibility and Accessibility,Positive,a spot for disabled access use,"A bit of a destination off US97, right at the Fred Meyer and close to the gas station ‚õΩÔ∏è.
 
 Glad Tesla is starting to put a spot for disabled access use, this should be a standard in all of the Superchargers across the world."
Output: Accessibility and Location,Positive,"A bit of a maze to find at first, parking is free",A bit of a maze to find at first. Doesn't hit 120KW but 72KW is fine. The key is having a reliable supercharger and parking is free.
Location,Neutral,"A bit of an odd location here, but nice in a sense to get to drive through the middle of the city on 1A even when just passing through","A bit of an odd location here, but nice in a sense to get to drive through the middle of the city on 1A even when just passing through. Chargers are always reliable and having the Sobeys grocery store nearby is convenient when they are open too. Wish this charger was closer to a gas station with 24/7 services and with the ability to clean a windshield though."
Reliability and maintenance,Positive,Chargers are always reliable,"A bit of an odd location here, but nice in a sense to get to drive through the middle of the city on 1A even when just passing through. Chargers are always reliable and having the Sobeys grocery store nearby is convenient when they are open too. Wish this charger was closer to a gas station with 24/7 services and with the ability to clean a windshield though."
Amenities and location,Positive,having the Sobeys grocery store nearby is convenient when they are open,"A bit of an odd location here, but nice in a sense to get to drive through the middle of the city on 1A even when just passing through. Chargers are always reliable and having the Sobeys grocery store nearby is convenient when they are open too. Wish this charger was closer to a gas station with 24/7 services and with the ability to clean a windshield though."
Compatibility and Connectivity,Neutral,Wish this charger was closer to a gas station with 24,"A bit of an odd location here, but nice in a sense to get to drive through the middle of the city on 1A even when just passing through. Chargers are always reliable and having the Sobeys grocery store nearby is convenient when they are open too. Wish this charger was closer to a gas station with 24/7 services and with the ability to clean a windshield though."
Amenities and location,Neutral,with the ability to clean a windshield though,"A bit of an odd location here, but nice in a sense to get to drive through the middle of the city on 1A even when just passing through. Chargers are always reliable and having the Sobeys grocery store nearby is convenient when they are open too. Wish this charger was closer to a gas station with 24/7 services and with the ability to clean a windshield though."
Output: Amenities and location,Positive,Wawa stop (with Jersey made pork roll!),"A bit off the highway. Clean, fast. Wawa stop (with Jersey made pork roll!)"
Output: Amenities and Location,Neutral,"Target, Petco, natural grocers, and a bunch of other shops in Glenwood Springs mall","A bit off the I-70 but conveniently located a short walk from Target, Petco, natural grocers, and a bunch of other shops in Glenwood Springs mall. Didn‚Äôt see much to eat in the area though. Clean bathrooms located in the Courtyard Marriott right opposite the chargers. Only 6 chargers and tends to get crowded during the weekend."
Output: Amenities and Location,Positive,Wawa is right near by,A bit on the slow side but at least Wawa is right near by for a quick stop
Output: Amenities and Location,Negative,"Statbuck, Panera, and McDonalds","A bit slow and crowded but a Statbuck, Panera, and McDonalds right there."
Output: Accessibility and Amenities and location,Negative,"slower than others, not the best signage, Wish they had clear signage of nearby necessities such as bathroom, trash, etc.","A bit slower than others, though easy to get into. Not the best signage being that they are in the parking structure. Wish they had clear signage of nearby necessities such as bathroom, trash, etc."
Output: Accessibility and Amenities and location,Negative,A bit tough to find and you have to sit through a line at the gate to the parking lot,A bit tough to find and you have to sit through a line at the gate to the parking lot. Staff was nice and didn't make us pay for parking since we were just charging. The Stanley grounds were fun to walk through while we waited. There is a coffee shop and decent bathrooms in the Stanley that anyone can use.
Output: Accessibility and Location,Positive,"Earl's Kitchen, Polo Park 2nd level parking lot","A bit tricky to find; look for Earl's Kitchen. The stations are next to its parking lot. (If you go past Earl's GPS will take you up to the Polo Park 2nd level parking lot... Aside from the location, the charger operation is fine. I visited twice and both times there were plenty of stations free (only three in use)."
Output: Accessibility and Accessibility,Positive,"A clean, well lit area with 5 chargers available. Pretty accessible from the main road. Car charged very quickly.","A clean, well lit area with 5 chargers available. Not very busy on the day we visited. Pretty accesible from the main road. Car charged very quickly."
Output: Amenities and Location,Positive,"playground, Coffee across the street, Subway and a grocery store",A convenient charger just down the street from my house. The little playground is nice for the kids. Coffee across the street is good (Bean Grinders). Subway and a grocery store are a bit of a walk down the street; not as close as you'd like but fine in good weather.
Output: Accessibility and Location,Negative,hard to find,"A convenient location but hard to find, on the lowest level."
Output: Accessibility and Accessibility,Neutral,A couple idiots parked their gas cars in the charging spots,A couple idiots parked their gas cars in the charging spots but not a big deal. Next to a Dunkin.
Output: Accessibility and Location,Positive,Casey's,"A couple miles off the highway at a Casey's. Need to visit here if you're on a week long business trip in Danville (which has has no EV chargers, at least not until the casino is built)."
Output: Charging speed and efficiency,Negative,"Twice the speed, with restaurants","A couple of miles further out of town there is a 250kw charger. Twice the speed, with restaurants.
 
 Check prices on the Tesla dashboard. Dang, Roseville is expensive!"
Output: Amenities and Location,Negative,You won't have many options for food and shopping,"A decent charging location. You won't have many options for food and shopping. If you have enough juice, skip here and charge up at the Casey's supercharger at Van Buren. It is a busier intersection but you will have many more options while you wait."
Output: Amenities and Location,Neutral,Applebee's and Holiday Inn Express,"A decent, if slightly slow, charger. All stalls were functional. Applebee's and Holiday Inn Express are all that's nearby. There's a large gravel area in front of the chargers where kids and dogs can run around, but it's nothing fancy."
Output: queue and waiting time,Negative,Female driver purposely holds two supercharging stations forcing drivers to wait for available one deliberately and dangerously,"A Female driver purposely holds two supercharging stations forcing drivers to wait for available one deliberately and dangerously. When she was asked to move her car in designated parking charg station, she refused and returns back to her vehicle. I was forced to squeeze in between hers and another Tesla in order to park and charge my vehicle. This kind of behavior should not be tolerated by Tesla because it is not fair one individual to hold two charging spot while other drivers are waiting for available charging stations."
Output: Amenities and location,Positive,"fast food options nearby, Plenty of space to walk around with a dog.",A few fast food options nearby. Upgraded chargers. Plenty of space to walk around with a dog.
Output: reliability and maintenance,Negative,A few stations don't work,"A few stations don't work, doesn't make sense that they are not reported on the app, and take you away from a good experience."
Output: reliability and maintenance,Negative,At least one has been broken the last couple times we have been there. And last Christmas 3 were broken.,A few years back this was an excellent stop for charging but they no longer maintain these stations very well. At least one has been broken the last couple times we have been there. And last Christmas 3 were broken. This location has also become very busy with no upgrades or improvements to the site. Pretty disappointed Tesla hasnt provided better service in this area with it being at the crossroads of 2 major interstates and in such a highly traveled location of the US.
Amenities and Location,Positive,"The Workmans Gas station has an awesome little store, clean bathrooms, and a restaurant with made to order food.","A fun place to stop for some real Americana! The Workmans Gas station has an awesome little store, clean bathrooms, and a restaurant with made to order food. They also have a case of already made things - and everything is fried! Vegans stay away from this place. We had them make sandwiches from Boars Head brand deli things which took a long time, but our hearts thanked us. The charger is a 250. Fast!"
Charging speed and efficiency,Positive,The charger is a 250. Fast!,"A fun place to stop for some real Americana! The Workmans Gas station has an awesome little store, clean bathrooms, and a restaurant with made to order food. They also have a case of already made things - and everything is fried! Vegans stay away from this place. We had them make sandwiches from Boars Head brand deli things which took a long time, but our hearts thanked us. The charger is a 250. Fast!"
Output: Amenities and Location,Positive,"small museum, ""The Old Country Store"" restaurant, ""Dixie Cafe""","A fun stop that commemorates Casey Jones, complete with a small museum and ‚ÄúThe Old Country Store‚Äù restaurant and ‚ÄúDixie Cafe‚Äù. If you love fried everything this is your place!"
Output: Amenities and Location,Positive,"Target parking lot, Longhorn, Panerai, nail shop, ice cream shop","A good amount of chargers on the far end of Target parking lot. So you can shop while you charge! There is also a Longhorn, Panerai, nail shop, ice cream shop, etc. if you like to do things while your car charges"
Output: Amenities and Location,Positive,"Burger King next door and a Walmart a couple blocks away, two hotels adjacent.","A good charger. There's a Burger King next door and a Walmart a couple blocks away. If you're staying the night, there are two hotels adjacent."
Output: Accessibility and Amenities and location,Positive,"good number of charging points, a mile of the freeway. Only the gas station quick kiosks around, so not much options for food","A good number of charging points, a mile of the freeway. Only the gas station quick kiosks around, so not much options for food. But Good for a quick charge"
Queue and waiting time,Neutral,during the day there was a small queue due to options for charging being limited in parts of the state,"A good spot to stop and charge before heading across the rest of the Ohio Turnpike. Plenty of spots to charge at night......when we were here during the day there was a small queue due to options for charging being limited in parts of the state.
 
 A few minutes down the road are some good spots to eat if you are looking for vegan or vegetarian options - we highly recommend Aladdin's!"
Amenities and location,Positive,Plenty of spots to charge at night,"A good spot to stop and charge before heading across the rest of the Ohio Turnpike. Plenty of spots to charge at night......when we were here during the day there was a small queue due to options for charging being limited in parts of the state.
 
 A few minutes down the road are some good spots to eat if you are looking for vegan or vegetarian options - we highly recommend Aladdin's!"
Customer service,Positive,highly recommend Aladdin's,"A good spot to stop and charge before heading across the rest of the Ohio Turnpike. Plenty of spots to charge at night......when we were here during the day there was a small queue due to options for charging being limited in parts of the state.
 
 A few minutes down the road are some good spots to eat if you are looking for vegan or vegetarian options - we highly recommend Aladdin's!"
Output: Amenities and Location,Positive,"coffee shop called ""fuel"", Trailblazer Grille",A good super charger for on the way to Fredericksburg. It‚Äôs a short walk to a coffee shop called ‚Äúfuel.‚Äú And there are a couple of restaurants nearby. One of them is the Trailblazer Grille where we had cowboy chicken and a Philly cheesesteak sandwich.
Output: Amenities and Location,Positive,"parking lot of a winery tasting room, staff is very friendly, nice food truck, clean and private bathrooms",A great charging option slightly north of Eugene. In the parking lot of a winery tasting room. The staff is very friendly and often offers free wine samples. They also have a nice food truck. The bathrooms are clean and private. Check the station details in your car for the passcode.
Output: reliability and maintenance,Positive,Everything clean and in working order,A great charging spot. Everything clean and in working order
Output: Amenities and Location,Positive,"a dinner an a Village center, Easy on and off route 17","A great location right next to a dinner an a Village center , Easy on and off route 17. Total of 8 stalls did not see a lot of cars here . Quick 150kWh charging"
Output: Amenities and Location,Positive,"next to a restaurant, hotels, and has a trash","A great location to charge, next to a restaurant, hotels, and has a trash. Parking lot is tricky but quiet and clean."
Output: Amenities and Location,Positive,Sonoma square,A great place to charge while walking around the Sonoma square.
Output: Amenities and Location,Positive,"Fort, a Sinclair gas station","A great place to charge. Located at the Fort, a Sinclair gas station, the charging station has trash cans and squeegees to clean your windshield. We charged here specifically to avoid charging at the lame Billings supercharger."
Output: Amenities and Location,Positive,"Cracker Barrel, Taco Bell, KFC, Arby's, a Chinese Buffet, Hampton Inn, RedRoof Inn, Best Western and a Quality Inn","A great place to stop at night to charge, eat and even sleep. So many food choices: Cracker Barrel, Taco Bell, KFC, Arby's, a Chinese Buffet and more. Lots of empty charging bays. Then for those who may have been driving all day and need a place to sleep there's: Hampton Inn, RedRoof Inn, Best Western and a Quality Inn three miles up the road."
Review 13: [A lifesaver near VTech. The hotel provides two Tesla 2.4 chargers for dual charging 24,"7 conveniently located left of the main entrance. Even though it is not a supercharger, the 20-25 miles","hour charge is fast enough for hotel guests to get a full charge overnight, or for Tesla owners on a pinch trying to get to the closest supercharging station is in Salem, about 31 miles from Blacksburg.]","A lifesaver near VTech. The hotel provides two Tesla 2.4 chargers for dual charging 24/7 conveniently located left of the main entrance. Even though it is not a supercharger, the 20-25 miles/hour charge is fast enough for hotel guests to get a full charge overnight, or for Tesla owners on a pinch trying to get to the closest supercharging station is in Salem, about 31 miles from Blacksburg."
Output 13: Accessibility and Amenities,Positive,conveniently located left of the main entrance,"A lifesaver near VTech. The hotel provides two Tesla 2.4 chargers for dual charging 24/7 conveniently located left of the main entrance. Even though it is not a supercharger, the 20-25 miles/hour charge is fast enough for hotel guests to get a full charge overnight, or for Tesla owners on a pinch trying to get to the closest supercharging station is in Salem, about 31 miles from Blacksburg."
Output: Accessibility and Location,Neutral,exposed to the main street,"A little bit exposed to the main street, but fine otherwise."
Output: Accessibility and Amenities and location,Positive,"nice spot to stop and charge, Area to walk dogs and sheets has good food and bathrooms",A little bit off the main road but a nice spot to stop and charge. Area to walk dogs and sheets has good food and bathrooms. 4 stars because one of my stops here another Tesla indicated they were only charging at 70kwh until there were only 2 of us left.
Accessibility and Accessibility,Negative,difficult to find due to construction and the Tesla's weird map routing,"A little difficult to find due to construction and the Tesla‚Äôs weird map routing.
 
 Located in the Mexican restaurant parking lot. Slower (120 kw?) and nothing walkable besides a hotel."
Amenities and location,Neutral,nothing walkable besides a hotel,"A little difficult to find due to construction and the Tesla‚Äôs weird map routing.
 
 Located in the Mexican restaurant parking lot. Slower (120 kw?) and nothing walkable besides a hotel."
Output: Accessibility and Location,Positive,"A little difficult to find, but once found, it was great!","A little difficult to find, but once found, it was great!"
Output: Amenities and location,Positive,Sheetz which offers a fairly clean bathroom and decent drink and food selections,"A little far from 95 relative to other locations along the highway, but a good location at Sheetz which offers a fairly clean bathroom and decent drink and food selections."
Output: Accessibility and Location,Negative,far from the interstate,A little far from the interstate. Only got ~40-50kW and there were two pickup trucks parked in charging spots (plenty of other parking).
Output: Accessibility and Location,Positive,in underground parking garage for the supermarket - but all chargers worked at fastest speed of any chargers in area.,A little hard to find at first - in underground parking garage for the supermarket - but all chargers worked at fastest speed of any chargers in area.
Output: Accessibility and Accessibility,Positive,"ample and effective towards the point, Numerous stations, lots of businesses near by, Pictured w","A little off the beaten path, however ample and effective towards the point. Numerous stations, lots of businesses near by.
 
 Pictured w/2 separate Handicapped Stations which offer more moving room and > spacious parking."
Output: Amenities and Location,Neutral,Just need to grab food,A little off the interstate. Just need to grab food/stop at a convenience store before heading there. Not really walkable. But great spot to charge and go to the bathroom in the hotel.
Output: Amenities and Location,Negative,"smelled overwhelmingly of urine, Carl's Jr was good and had clean bathrooms",A little sketchy. Smelled overwhelmingly of urine. I gave this review 2 stars because the Carl's Jr was good and had clean bathrooms.
Output: Charging speed and efficiency,Negative,"A little slow at first, reading an hour on what should have been 30 minutes.","A little slow at first, reading an hour on what should have been 30 minutes. We switched to the second stall from the right and it went to 30 minutes. The stalls up fast once we arrived, so it seems to be a busy location. There are tons of amenities nearby such as McDonalds, Dunkin‚Äô Donuts, Starbucks, a grocery store and some other shopping."
Output: charging speed and efficiency,Neutral,A little slow,"A little slow, maybe they haven't uped the power yet? But it is a welcome addition to the network."
Output: Amenities and Location,Positive,Wawa bathroom and food and good coffee,A little tricky getting there coming from the 95 south lanes. But it a great place Wawa bathroom and food and good coffee.
Output: Amenities and Location,Positive,Buc EE's has a lot of food choices; I would say best food option in the Carolinas within walking distance from a super charger,A lot of chargers. Get the full 250. The Buc EE's has a lot of food choices; I would say best food option in the Carolinas within walking distance from a super charger. clean bathrooms
Output: Amenities and location,Positive,Good size convenience store and a Subway.,A lot of open spots. Good size convenience store and a Subway.
Output: Amenities and Location,Positive,A lot of things to do in the area and a good amount of chargers. Well lit at night time. It is great if you need a quick Target run as well!,A lot of things to do in the area and a good amount of chargers. Well lit at night time. It is a decently fast charger and I have never had to wait here. It is great if you need a quick Target run as well!
Output: Amenities and Location,Positive,"behind a Sheetz, less chance of getting ICEd, in Opal, option to avoid DC traffic","A nice location behind a Sheetz, so less chance of getting ICEd. It‚Äôs really in Opal, not Bealeton. I had the place to myself. I like that there‚Äôs a option to avoid the DC traffic on road trips."
Output: Accessibility and Amenities and location,Neutral,"the two restaurants weren't open yet for bathroom use, Lots of places to shop",A nice place to charge but we came around 11am and the two restaurants weren‚Äôt open yet for bathroom use. Lots of places to shop though.
Output: Amenities and Location,Positive,"Winn Dixie, restrooms, trashcans, Checkers, Burger King, Hungry Howie's","A nice supercharger in the parking lot of Winn Dixie, restrooms are in the back right corner. A couple of trashcans to keep the place tidy which is a plus. A few places to eat within the same parking lot, Checkers, Burger King, and Hungry Howie's, but Checkers was drive thru only. If you want to walk across the street there are a few more options."
Output: Accessibility and Accessibility,Neutral,hard to get to if heading south,"A previous reviewer said that this supercharger is hard to get to if heading south...of course, since this is the northbound supercharger. If you're heading south on I-93 just use the supercharger at the southbound rest area. There's a supercharger at BOTH the northbound and southbound rest areas."
