ID,Manul Aspect,Aspect,Polarity,Summary,Review,Flag,Manul Aspect
2068,Price+Cost,price,positive,affordable L3 charging,"This location got one L2 and L3 charger. L3 gives you up to 50 kWh.

L2 is free
L3 is free for first 30 minutes and afterwards $.37 cents.

This one is next to Aldi/Amazon Fresh (yet to open) so you can do your grocery run while car get charged up. I was using $249 CCS adapter from tesla site to fuel up.

Hope this helps.",0,
2069,Speed+Efficiency ,efficiency,negative,Charger not working for a month,The fast charger doesn't work for over a month!!  Nobody does anything.  There is no one to fix.,0,
2070,Customer Service,customer service,negative,No one to fix the charger,The fast charger doesn't work for over a month!!  Nobody does anything.  There is no one to fix.,0,
2071,Accessibility+Availability ,availability,negative,Insufficient charging stations available,Needs more stations for charging.,0,
2072,Amenities+Location,infrastructure,negative,Lack of charging stations,Needs more stations for charging.,0,
2073,Amenities+Location,user interface,positive,Easy to run into Wawa,"It worked as expected. Busy, but no wait. Nice parking lot. Easy to run into Wawa and grab a drink while you charge. 10/10 A+++",0,
2074,Queue+Waiting Time,queue/waiting time,positive,no wait,"It worked as expected. Busy, but no wait. Nice parking lot. Easy to run into Wawa and grab a drink while you charge. 10/10 A+++",0,
2075,Amenities+Location,amenities,positive,Nice parking lot,"It worked as expected. Busy, but no wait. Nice parking lot. Easy to run into Wawa and grab a drink while you charge. 10/10 A+++",0,
2076,Accessibility+Availability ,accessibility,positive,Easy to access,"Easy to access, quick. Somewhat busy at noon on a Monday but I had no trouble getting a space.",0,
2077,Accessibility+Availability ,availability,positive,No trouble getting a space,"Easy to access, quick. Somewhat busy at noon on a Monday but I had no trouble getting a space.",0,
2078,Amenities+Location,charging location,positive,Quick,"Easy to access, quick. Somewhat busy at noon on a Monday but I had no trouble getting a space.",0,
2079,Queue+Waiting Time,queue/waiting time,negative,"long wait times, always full",Always all stations are full there’s 4-5cars waiting in line - not a good spot if you don’t have extra time in hand ( pics are of 2-diff days at diff times) always full 🥹,0,
2080,Accessibility+Availability ,availability,negative,"stations always full, hard to find",Always all stations are full there’s 4-5cars waiting in line - not a good spot if you don’t have extra time in hand ( pics are of 2-diff days at diff times) always full 🥹,0,
2081,Amenities+Location,charging location,negative,"not a good spot, long wait times",Always all stations are full there’s 4-5cars waiting in line - not a good spot if you don’t have extra time in hand ( pics are of 2-diff days at diff times) always full 🥹,0,
2082,Queue+Waiting Time,reliability,negative,"stations always full, not dependable",Always all stations are full there’s 4-5cars waiting in line - not a good spot if you don’t have extra time in hand ( pics are of 2-diff days at diff times) always full 🥹,0,
2083,Compatibility+Connectivity ,capacity,negative,"too many cars, not enough stations",Always all stations are full there’s 4-5cars waiting in line - not a good spot if you don’t have extra time in hand ( pics are of 2-diff days at diff times) always full 🥹,0,
2084,Queue+Waiting Time,queue/waiting time,negative,long wait times due to traffic,"250 kilowatt chargers were great, however be ready to wait a little bit due to the amount of traffic. I wish there were more stalls that's my only gripe because of the amount of teslas who were waiting their turn but overall 4 out of 5 stars",0,
2085,Speed+Efficiency ,availability,positive,great 250 kilowatt chargers,"250 kilowatt chargers were great, however be ready to wait a little bit due to the amount of traffic. I wish there were more stalls that's my only gripe because of the amount of teslas who were waiting their turn but overall 4 out of 5 stars",0,
2086,Amenities+Location,amenities,neutral,no mention,"250 kilowatt chargers were great, however be ready to wait a little bit due to the amount of traffic. I wish there were more stalls that's my only gripe because of the amount of teslas who were waiting their turn but overall 4 out of 5 stars",0,
2087,Reliability+Maintenance,reliability,positive,overall 4 out of 5 stars,"250 kilowatt chargers were great, however be ready to wait a little bit due to the amount of traffic. I wish there were more stalls that's my only gripe because of the amount of teslas who were waiting their turn but overall 4 out of 5 stars",0,
2088,Compatibility+Connectivity ,capacity,negative,not enough stalls for amount of Teslas,"250 kilowatt chargers were great, however be ready to wait a little bit due to the amount of traffic. I wish there were more stalls that's my only gripe because of the amount of teslas who were waiting their turn but overall 4 out of 5 stars",0,
2089,Customer Service,customer service,neutral,no mention,"250 kilowatt chargers were great, however be ready to wait a little bit due to the amount of traffic. I wish there were more stalls that's my only gripe because of the amount of teslas who were waiting their turn but overall 4 out of 5 stars",0,
2090,Amenities+Location,charging location,neutral,no mention,"250 kilowatt chargers were great, however be ready to wait a little bit due to the amount of traffic. I wish there were more stalls that's my only gripe because of the amount of teslas who were waiting their turn but overall 4 out of 5 stars",0,
2091,Speed+Efficiency ,charging speed,positive,great 250 kilowatt chargers,"250 kilowatt chargers were great, however be ready to wait a little bit due to the amount of traffic. I wish there were more stalls that's my only gripe because of the amount of teslas who were waiting their turn but overall 4 out of 5 stars",0,
2092,Amenities+Location,charging location,positive,Good location at Wawa,Good experience. All chargers were full upon arrival but only had to wait a minute or so. Good location too at Wawa.,0,
2093,Accessibility+Availability ,availability,positive,All chargers were full upon arrival,Good experience. All chargers were full upon arrival but only had to wait a minute or so. Good location too at Wawa.,0,
2094,Queue+Waiting Time,queue/waiting time,positive,Only had to wait a minute,Good experience. All chargers were full upon arrival but only had to wait a minute or so. Good location too at Wawa.,0,
2095,Customer Service,overall experience,positive,Good experience,Good experience. All chargers were full upon arrival but only had to wait a minute or so. Good location too at Wawa.,0,
2096,Speed+Efficiency ,charging speed,negative,"slow charging, broken stations",30kwh charing speed it takes 1 90 minutes to charge from 10% to 80%.  A few stations are always broken and never fixed,0,
2097,Accessibility+Availability ,availability,negative,few stations always broken,30kwh charing speed it takes 1 90 minutes to charge from 10% to 80%.  A few stations are always broken and never fixed,0,
2098,Reliability+Maintenance,reliability,negative,stations never fixed,30kwh charing speed it takes 1 90 minutes to charge from 10% to 80%.  A few stations are always broken and never fixed,0,
2099,Reliability+Maintenance,reliability,negative,more stalls out of order,I'm grateful there is a level 3 charging station in my neighborhood but there is always a stall or two out of order. I wish this station were more reliable.,0,
2100,Accessibility+Availability ,availability,positive,grateful for level 3 station,I'm grateful there is a level 3 charging station in my neighborhood but there is always a stall or two out of order. I wish this station were more reliable.,0,
2101,Speed+Efficiency ,efficiency,negative,Capped at 70-75W,Charging is capped at 70-75W. Other than that it works. Sometimes.,0,
2102,Reliability+Maintenance,reliability,positive,Works most of the time,Charging is capped at 70-75W. Other than that it works. Sometimes.,0,
2103,Accessibility+Availability ,infrastructure,negative,Multiple charging stations not working,"Very disappointed with Electrify America, here only 1 working from 4, and it happened not only here, every each charged stations have same problems",0,
2104,Accessibility+Availability ,availability,negative,Only 1 out of 4 stations working,"Very disappointed with Electrify America, here only 1 working from 4, and it happened not only here, every each charged stations have same problems",0,
2105,Speed+Efficiency ,efficiency,negative,Problems at every charged station,"Very disappointed with Electrify America, here only 1 working from 4, and it happened not only here, every each charged stations have same problems",0,
2106,Reliability+Maintenance,reliability,negative,Disappointed with Electrify America,"Very disappointed with Electrify America, here only 1 working from 4, and it happened not only here, every each charged stations have same problems",0,
2107,Ease of use,user interface,negative,Confusing port usage,The thing I don't understand with these chargers are they have two ports but only can be used at a time?,0,
2108,Accessibility+Availability ,infrastructure,negative,Limited port usage,The thing I don't understand with these chargers are they have two ports but only can be used at a time?,0,
2109,Amenities+Location,charging location,positive,Convenient and close to amenities,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2110,patment Option,charging options,negative,No trailer charger available,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2111,Accessibility+Availability ,accessibility,positive,Easy access from route 17,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2112,Amenities+Location,amenities,positive,Staples and pizza joint nearby,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2113,Accessibility+Availability ,availability,positive,No wait time for charging,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2114,Price+Cost,price,not mentioned,No mention of cost or pricing,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2115,Customer Service,customer service,not mentioned,No mention of service quality,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2116,Speed+Efficiency ,efficiency,not mentioned,No mention of charging speed or efficiency,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2117,Accessibility+Availability ,functionality,not mentioned,No mention of functionality or features,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2118,Compatibility+Connectivity ,capacity,not mentioned,No mention of charging capacity,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2119,Accessibility+Availability ,infrastructure,not mentioned,No mention of infrastructure quality,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2120,Compatibility+Connectivity ,charging compatibility/connectivity,not mentioned,No mention of compatibility with different vehicle types,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2121,Reliability+Maintenance,maintenance,not mentioned,No mention of maintenance or upkeep,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2122,patment Option,payment option,not mentioned,No mention of payment options,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2123,Safety,safety,not mentioned,No mention of safety features,"Excellent spot, v3.
20sec on/off route 17 SOUTHBOUND.
Going north is a headache abit.

Very close walkway through building tunnel to stores. Staples and pizza joint right there. Both have pee and pop. Closed at night. About 10second walk.

No trailer charger.

Hours of staples and pizza posted.",0,
2124,Compatibility+Connectivity ,charging compatibility/connectivity,negative,Not compatible with Tesla adapter,not compatible with the Tesla adapter ....can not charge a Tesla there,0,
2125,Speed+Efficiency ,charging,negative,Can not charge Tesla there,not compatible with the Tesla adapter ....can not charge a Tesla there,0,
2126,Reliability+Maintenance,maintenance,negative,chargers need service,Half of the chargers need service.,0,
2127,Accessibility+Availability ,accessibility,negative,Difficult to locate charging stations,"Trying to actually get to the chargers is a challenge. The car routed me into the parking garage and you can't make a direct left to the chargers. I had to go to the second floor, turn around, then the parking attendant had me make a u-turn in the exit lane to drive the wrong way to the chargers. I hope you all have better luck. The chargers seem to be in the valet Parking lot. Plenty of spaces though.",0,
2128,Accessibility+Availability ,availability,positive,Plenty of spaces for charging,"Trying to actually get to the chargers is a challenge. The car routed me into the parking garage and you can't make a direct left to the chargers. I had to go to the second floor, turn around, then the parking attendant had me make a u-turn in the exit lane to drive the wrong way to the chargers. I hope you all have better luck. The chargers seem to be in the valet Parking lot. Plenty of spaces though.",0,
2129,Accessibility+Availability ,infrastructure,negative,Poorly designed parking garage for charging stations,"Trying to actually get to the chargers is a challenge. The car routed me into the parking garage and you can't make a direct left to the chargers. I had to go to the second floor, turn around, then the parking attendant had me make a u-turn in the exit lane to drive the wrong way to the chargers. I hope you all have better luck. The chargers seem to be in the valet Parking lot. Plenty of spaces though.",0,
2130,Speed+Efficiency ,charging speed,negative,slow charging at new station,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2131,Amenities+Location,charging location,positive,close to American Dream entrance,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2132,Accessibility+Availability ,availability,positive,plenty of spots available,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2133,Price+Cost,payment option,negative,need to pay for parking to access,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2134,Speed+Efficiency ,efficiency,negative,only getting 150 miles/hour,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2135,Speed+Efficiency ,reliability,negative,unclear why charging is slow,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2136,Accessibility+Availability ,capacity,positive,16 spots available,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2137,Customer Service,customer service,neutral,no mention of service quality,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2138,Amenities+Location,charging location,positive,close to entrance and plenty of spots,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2139,Price+Cost,price,neutral,no mention of cost,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2140,Reliability+Maintenance,maintenance,neutral,no mention of maintenance,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2141,Accessibility+Availability ,functionality,neutral,no mention of functionality,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2142,Amenities+Location,amenities,neutral,no mention of amenities,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2143,Accessibility+Availability ,accessibility,neutral,no mention of accessibility,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2144,Safety,safety,neutral,no mention of safety features,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2145,Accessibility+Availability ,charging compatibility/connectivity,neutral,no mention of compatibility,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2146,Ease of use,user interface,neutral,no mention of user interface,"Newly opened, bunch of spots(16 I believe). You do need to pay parking for American Dream to get in. Very close to AD entrance, so that’s nice. Charging is supposed to be quick but so am only get 150mile/h, even though I am the only car charging there, not sure why.",0,
2147,Accessibility+Availability ,infrastructure,positive,Quick and easy access,"Overall very decent.

Very quick on/off 95, nj turnpike.

Google map is wrong, follow tesla nav. Enter garage at closest entryway from turnpike, make a u turn to LEFT in garage. Under Saks. Ground floor.

Free parking for 30min. I recommend NOT to go to the mall, resist at all costs as you will miss your 30min mark. It's big.

Took one star off for headache of going into garage and dealing with ticket system.

Also unclear where bathrooms are or where to buy a coca cola...",0,
2148,Ease of use,user interface,positive,Tesla navigation is accurate,"Overall very decent.

Very quick on/off 95, nj turnpike.

Google map is wrong, follow tesla nav. Enter garage at closest entryway from turnpike, make a u turn to LEFT in garage. Under Saks. Ground floor.

Free parking for 30min. I recommend NOT to go to the mall, resist at all costs as you will miss your 30min mark. It's big.

Took one star off for headache of going into garage and dealing with ticket system.

Also unclear where bathrooms are or where to buy a coca cola...",0,
2149,Accessibility+Availability ,accessibility,positive,Free parking for 30min,"Overall very decent.

Very quick on/off 95, nj turnpike.

Google map is wrong, follow tesla nav. Enter garage at closest entryway from turnpike, make a u turn to LEFT in garage. Under Saks. Ground floor.

Free parking for 30min. I recommend NOT to go to the mall, resist at all costs as you will miss your 30min mark. It's big.

Took one star off for headache of going into garage and dealing with ticket system.

Also unclear where bathrooms are or where to buy a coca cola...",0,
2150,Accessibility+Availability ,infrastructure,negative,Ticket system is a headache,"Overall very decent.

Very quick on/off 95, nj turnpike.

Google map is wrong, follow tesla nav. Enter garage at closest entryway from turnpike, make a u turn to LEFT in garage. Under Saks. Ground floor.

Free parking for 30min. I recommend NOT to go to the mall, resist at all costs as you will miss your 30min mark. It's big.

Took one star off for headache of going into garage and dealing with ticket system.

Also unclear where bathrooms are or where to buy a coca cola...",0,
2151,Amenities+Location,amenities,negative,Unclear where bathrooms and drinks are,"Overall very decent.

Very quick on/off 95, nj turnpike.

Google map is wrong, follow tesla nav. Enter garage at closest entryway from turnpike, make a u turn to LEFT in garage. Under Saks. Ground floor.

Free parking for 30min. I recommend NOT to go to the mall, resist at all costs as you will miss your 30min mark. It's big.

Took one star off for headache of going into garage and dealing with ticket system.

Also unclear where bathrooms are or where to buy a coca cola...",0,
2152,Accessibility+Availability ,availability,negative,Limited charging time and expensive parking,The chargers are in the mall parking lot. You have about 30 minutes to charge. After that you would need to pay for being in the parking lot $5.00 that kind of sucks but it is what it is.,0,
2153,Price+Cost,price,negative,Expensive parking after charging,The chargers are in the mall parking lot. You have about 30 minutes to charge. After that you would need to pay for being in the parking lot $5.00 that kind of sucks but it is what it is.,0,
2154,Accessibility+Availability ,infrastructure,negative,Inconvenient location and no amenities,"The supercharger is at a mall. Got here one night and there were no bathrooms or food, was only able to charge. Also had to enter parking garage in order to use the charger,which is a paid thing",0,
2155,patment Option,payment option,negative,Had to pay for parking to charge,"The supercharger is at a mall. Got here one night and there were no bathrooms or food, was only able to charge. Also had to enter parking garage in order to use the charger,which is a paid thing",0,
2156,Amenities+Location,availability,negative,No bathrooms or food nearby,"The supercharger is at a mall. Got here one night and there were no bathrooms or food, was only able to charge. Also had to enter parking garage in order to use the charger,which is a paid thing",0,
2157,Amenities+Location,charging location,negative,Had to enter paid parking garage,"The supercharger is at a mall. Got here one night and there were no bathrooms or food, was only able to charge. Also had to enter parking garage in order to use the charger,which is a paid thing",0,
2158,Speed+Efficiency ,efficiency,positive,Able to charge at supercharger,"The supercharger is at a mall. Got here one night and there were no bathrooms or food, was only able to charge. Also had to enter parking garage in order to use the charger,which is a paid thing",0,
2159,Accessibility+Availability ,availability,negative,No charging station available,There is None charging station,0,
2160,Accessibility+Availability ,availability,negative,Charger not found,I couldn't find a charger. Are you just claiming tax credits without actually having a charger?,0,
2161,Accessibility+Availability ,infrastructure,negative,No charger available,I couldn't find a charger. Are you just claiming tax credits without actually having a charger?,0,
2162,Reliability+Maintenance,reliability,negative,Charger not present,I couldn't find a charger. Are you just claiming tax credits without actually having a charger?,0,
2163,Customer Service,customer service,negative,No charger available,I couldn't find a charger. Are you just claiming tax credits without actually having a charger?,0,
2164,Accessibility+Availability ,user interface,negative,Repeated errors with charging,Repeated errors trying to charge a Mustang Mach e. Didn't have the miles to waste with this!!..,0,
2165,Compatibility+Connectivity ,charging compatibility/connectivity,negative,Couldn't charge Mustang Mach e,Repeated errors trying to charge a Mustang Mach e. Didn't have the miles to waste with this!!..,0,
2166,Speed+Efficiency ,efficiency,positive,Nice and fast charging experience,Nice and fast when it works,0,
2167,Accessibility+Availability ,infrastructure,negative,"Generators down, no warning, inconvenience",Generators were down (PSE&G). NO WARNING. Next station was about 7 miles away. Super inconvenience to travel. Usually this is my go to store in North Jersey. Unfortunate there was no notice.,0,
2168,Accessibility+Availability ,availability,negative,Next station 7 miles away,Generators were down (PSE&G). NO WARNING. Next station was about 7 miles away. Super inconvenience to travel. Usually this is my go to store in North Jersey. Unfortunate there was no notice.,0,
2169,Customer Service,customer service,negative,"No notice, unfortunate",Generators were down (PSE&G). NO WARNING. Next station was about 7 miles away. Super inconvenience to travel. Usually this is my go to store in North Jersey. Unfortunate there was no notice.,0,
2170,Accessibility+Availability ,infrastructure,positive,Convenient charging with renewable energy,It’s a convenient way to charge up with renewable energy. I love that they have 2 chargers at this location,0,
2171,Accessibility+Availability ,availability,positive,2 chargers at this location,It’s a convenient way to charge up with renewable energy. I love that they have 2 chargers at this location,0,
2172,Accessibility+Availability ,infrastructure,positive,Performs with excellence.,EVgo Charging Station performs with excellence.,0,
2173,Ease of use,user interface,negative,Difficult to navigate and use,"I did not like this place at all. For starters this is a V2 supercharger. Was there at night. It's crazy but there are no lights at this location. Very dark. Nothing nearby. No restrooms when Tesla store closed.

Tesla, How in the world is there no V3 supercharges in Northern NJ and the Hudson Valley NY??? If you are going from NYC to Middletown NY for example. Or further up Rt 17 in NY? Only V2. Very far spread out too. You need more in this area.

I do see V3 coming to 17 NJ in Mahwah Q3 2023 according to your maps. Please expedite this location!!  This would help!",0,
2174,Queue+Waiting Time,queue/waiting time,negative,Long wait times and inconvenient location,"I did not like this place at all. For starters this is a V2 supercharger. Was there at night. It's crazy but there are no lights at this location. Very dark. Nothing nearby. No restrooms when Tesla store closed.

Tesla, How in the world is there no V3 supercharges in Northern NJ and the Hudson Valley NY??? If you are going from NYC to Middletown NY for example. Or further up Rt 17 in NY? Only V2. Very far spread out too. You need more in this area.

I do see V3 coming to 17 NJ in Mahwah Q3 2023 according to your maps. Please expedite this location!!  This would help!",0,
2175,Safety,safety,negative,No lighting and no nearby amenities,"I did not like this place at all. For starters this is a V2 supercharger. Was there at night. It's crazy but there are no lights at this location. Very dark. Nothing nearby. No restrooms when Tesla store closed.

Tesla, How in the world is there no V3 supercharges in Northern NJ and the Hudson Valley NY??? If you are going from NYC to Middletown NY for example. Or further up Rt 17 in NY? Only V2. Very far spread out too. You need more in this area.

I do see V3 coming to 17 NJ in Mahwah Q3 2023 according to your maps. Please expedite this location!!  This would help!",0,
2176,Compatibility+Connectivity ,charging compatibility/connectivity,neutral,No mention,"I did not like this place at all. For starters this is a V2 supercharger. Was there at night. It's crazy but there are no lights at this location. Very dark. Nothing nearby. No restrooms when Tesla store closed.

Tesla, How in the world is there no V3 supercharges in Northern NJ and the Hudson Valley NY??? If you are going from NYC to Middletown NY for example. Or further up Rt 17 in NY? Only V2. Very far spread out too. You need more in this area.

I do see V3 coming to 17 NJ in Mahwah Q3 2023 according to your maps. Please expedite this location!!  This would help!",0,
2177,Accessibility+Availability ,availability,negative,Not enough charging stations in the area,"I did not like this place at all. For starters this is a V2 supercharger. Was there at night. It's crazy but there are no lights at this location. Very dark. Nothing nearby. No restrooms when Tesla store closed.

Tesla, How in the world is there no V3 supercharges in Northern NJ and the Hudson Valley NY??? If you are going from NYC to Middletown NY for example. Or further up Rt 17 in NY? Only V2. Very far spread out too. You need more in this area.

I do see V3 coming to 17 NJ in Mahwah Q3 2023 according to your maps. Please expedite this location!!  This would help!",0,
2178,Accessibility+Availability ,infrastructure,negative,Only V2 superchargers available,"I did not like this place at all. For starters this is a V2 supercharger. Was there at night. It's crazy but there are no lights at this location. Very dark. Nothing nearby. No restrooms when Tesla store closed.

Tesla, How in the world is there no V3 supercharges in Northern NJ and the Hudson Valley NY??? If you are going from NYC to Middletown NY for example. Or further up Rt 17 in NY? Only V2. Very far spread out too. You need more in this area.

I do see V3 coming to 17 NJ in Mahwah Q3 2023 according to your maps. Please expedite this location!!  This would help!",0,
2179,Speed+Efficiency ,efficiency,negative,Long wait times and inconvenient location,"I did not like this place at all. For starters this is a V2 supercharger. Was there at night. It's crazy but there are no lights at this location. Very dark. Nothing nearby. No restrooms when Tesla store closed.

Tesla, How in the world is there no V3 supercharges in Northern NJ and the Hudson Valley NY??? If you are going from NYC to Middletown NY for example. Or further up Rt 17 in NY? Only V2. Very far spread out too. You need more in this area.

I do see V3 coming to 17 NJ in Mahwah Q3 2023 according to your maps. Please expedite this location!!  This would help!",0,
2180,Amenities+Location,amenities,negative,No restrooms or nearby facilities,"I did not like this place at all. For starters this is a V2 supercharger. Was there at night. It's crazy but there are no lights at this location. Very dark. Nothing nearby. No restrooms when Tesla store closed.

Tesla, How in the world is there no V3 supercharges in Northern NJ and the Hudson Valley NY??? If you are going from NYC to Middletown NY for example. Or further up Rt 17 in NY? Only V2. Very far spread out too. You need more in this area.

I do see V3 coming to 17 NJ in Mahwah Q3 2023 according to your maps. Please expedite this location!!  This would help!",0,
2181,Reliability+Maintenance,reliability,negative,Not enough charging stations in the area,"I did not like this place at all. For starters this is a V2 supercharger. Was there at night. It's crazy but there are no lights at this location. Very dark. Nothing nearby. No restrooms when Tesla store closed.

Tesla, How in the world is there no V3 supercharges in Northern NJ and the Hudson Valley NY??? If you are going from NYC to Middletown NY for example. Or further up Rt 17 in NY? Only V2. Very far spread out too. You need more in this area.

I do see V3 coming to 17 NJ in Mahwah Q3 2023 according to your maps. Please expedite this location!!  This would help!",0,
2182,Amenities+Location,accessibility,negative,Inconvenient location and lack of amenities,"I did not like this place at all. For starters this is a V2 supercharger. Was there at night. It's crazy but there are no lights at this location. Very dark. Nothing nearby. No restrooms when Tesla store closed.

Tesla, How in the world is there no V3 supercharges in Northern NJ and the Hudson Valley NY??? If you are going from NYC to Middletown NY for example. Or further up Rt 17 in NY? Only V2. Very far spread out too. You need more in this area.

I do see V3 coming to 17 NJ in Mahwah Q3 2023 according to your maps. Please expedite this location!!  This would help!",0,
